Bus,V_pu,Angle_deg,P_pu,Q_pu,Iinj_pu
1,1,0,2.42091471699266,11.7220996744839,11.9694798903498
2,0.704845853184856,-0.0523430174430057,-2.352035269858,1.67182340680607,4.09403722347526
3,-0.170106251964008,-46.3732870855297,3.85102615757508,1.1076496433573,23.5567760123331
4,-0.531904679608304,-109.077665888111,5.74236569141887,14.2863500291415,28.9473402722232
5,-0.481303579963719,-209.58424695645,-6.11564037053428,13.5116345905069,30.8147055213852
6,0.149696773790677,-295.459088661196,2.94059532545566,-1.68534936222537,22.6412491935493
7,0.962691775829719,-321.498637682916,-5.77478750276972,13.624083632807,15.3708868052201
8,1.05013096875042,-313.11075304596,7.01073214883347,14.3624238043057,15.2192107434659
9,0.632095808569844,-314.053095298006,-1.70886733680067,-0.0747097018072302,2.70607658655325
10,-0.123325351701669,-411.361112104255,1.3696890277998,0.261532265244727,11.3069562060089
11,0.0155925783476182,-531.962757671851,0.182486701145732,-0.21973973494345,18.3186053585482
12,0.497638392477664,-578.431920406791,2.50416626303914,1.99343331483985,6.43182405424097
13,0.716202024926689,-586.921531355812,-0.426263147894884,0.90520817712196,1.39702328535674
14,0.901992952589494,-589.659703320103,-0.819029472093093,1.24773914622989,1.6547086174561
15,0.979247524409745,-588.638596443842,-0.549915547322742,1.2195916523225,1.36618997103818
16,1.0174375792507,-586.235583334631,-0.048223921556826,1.48280759944726,1.45816469974089
17,0.998974294454122,-582.905400554464,0.499501224363477,1.13931063923498,1.24527495657428
18,0.979586068838052,-582.317716032537,0.130377758630372,0.209853502017419,0.252204867451349
19,0.974965797074386,-582.050360577805,0.00314494663253989,0.00607495699500092,0.00701639482687644
20,0.967586556137306,-581.680213374434,0.00570854009370328,0.00802241901035094,0.0101759871089142
21,0.958611662633107,-581.314222887389,0.00835608519791086,0.00837274762750901,0.0123398008400728
22,0.96013300916494,-581.403865175948,-0.00218234130652283,-1.31134954051929e-06,0.0022729576836547
23,0.961343800038545,-581.471630733946,-0.000748706979462217,-0.000222485192008895,0.000812471595571802
24,0.963201083896922,-581.558688389178,-0.00138428099377138,0.000450096289733548,0.00151122846260074
25,0.964341330970621,-581.617486477202,-0.00198303459981389,0.000528008548770501,0.00212800745845633
26,0.96508195706331,-581.661494639416,-0.000685083776711082,-0.000756986710829051,0.00105790452985593
27,0.966796466004867,-581.730542188144,0.00491739783475628,0.000488604070112352,0.00511132674305618
28,0.965601966644834,-581.766686721414,-0.0048052874628327,0.00604045601989538,0.00799363734475264
29,0.963043626931339,-581.863156350179,-0.000766743919208313,0.00143953059652134,0.00169358367515534
30,0.960975016516676,-581.936599928284,-0.000123014875502807,0.00114729241958388,0.00120072686349506
31,0.958503023677079,-582.019009051309,0.00956898999523968,0.000713161615902475,0.0100109528692873
32,0.956468361232952,-582.091757217218,0.00621156310101039,0.00417970923473095,0.00782763745327098
33,0.953389907937889,-582.222711147998,0.248270669896763,0.298684700278916,0.40738343654853
34,0.973066233009063,-582.323039928487,0.039512184414888,0.0647614636826995,0.0779632738895575
35,0.983511714966843,-582.441542213526,0.0280359620243351,0.0596700365480155,0.0670334736412367
36,0.993187577213034,-582.63040733069,0.0278503325520556,0.0821130807258143,0.0873022890801688
37,1.00219319362924,-582.961205400602,0.0486230888066899,0.18783944746214,0.193605956436748
38,0.997948417710846,-582.680305670568,0.00801500026331445,0.0241415488959694,0.0254895621113588
39,0.994641345132149,-582.488379404997,0.00990617168165334,0.0244560562835455,0.0265283444154947
40,0.988529044919145,-582.204994454592,0.0124029121877105,0.0248767363985564,0.0281197589946671
41,0.983244629949851,-582.007438992726,0.00912289555992062,0.0172082733066476,0.0198088628441629
42,0.97918656692051,-581.876412277396,0.0104243080110044,0.0153743402341166,0.0189699896990706
43,0.973111010849233,-581.692102976786,0.00700645472742692,0.0177530846496828,0.0196130348056064
44,0.970371454361399,-581.568783623498,0.00137819323343011,0.0064160928623345,0.00676281586152833
45,0.966804986816419,-581.449142795844,0.00317905496430976,0.00586159129283908,0.00689713176231414
46,0.965557779381993,-581.422486212118,-0.00157815867230531,-0.000268146756044317,0.00165787815316873
47,0.964350633154272,-581.3883480097,-0.00121379124523135,0.00060340953786801,0.00140561366636537
48,0.962559428697795,-581.342511558666,-0.00188512499268054,-0.00056608991137907,0.002044847331425
49,0.961844475433643,-581.316535109651,-0.000842796185515747,0.00022451015790142,0.000906785926132406
50,0.960842896209835,-581.280666088193,-0.00172434958381387,-0.000412547700438339,0.00184526895016918
51,0.960049125609083,-581.244977102048,-0.00120663319533255,-0.000137664487245305,0.00126499866210051
52,0.959165833474965,-581.200528483751,-0.00165404923730965,0.000868087574940245,0.00194753421178338
53,0.957401904191007,-581.132605246592,0.00458817386426209,0.00403707237711538,0.00638332423369822
54,0.951517208436856,-580.90635480726,0.00258869875521287,0.00694560152452724,0.00779001900114669
55,0.944499220282233,-580.683231837924,0.441231398310447,0.500354475648823,0.706313971169635
