P,Q,V_mag,V_theta,I_max_tail,I_min_tail,I_avg_tail,Iphase_max_tail,Iphase_min_tail,Iphase_avg_tail,I1_avg_tail,I2_avg_tail,I3_avg_tail,V1_avg_tail,V2_avg_tail,V3_avg_tail,V_avg_tail,Vphase_avg_tail,P_avg_tail,Q_avg_tail,V1_inv_tail,V2_inv_tail,V3_inv_tail,I1_inv_tail,I2_inv_tail,I3_inv_tail
20.0,50.0,70.0,-60.0,0.4211207894667745,0.1207512913098727,0.3014123493016777,0.6518577637805446,-0.4073425352574975,0.11458123532378373,5.213557758374602,5.209228494134214,5.206488561463815,20.79954311495352,20.804588239418187,20.790324543182,0.22744293499392296,-1.1439417541685886,-0.05933652184890843,2.5929332001480865,0.7537060330638646,0.7543912508400923,0.7543347605164608,0.6600600548995993,0.6590967542149526,0.6597161204363727
0.0,20.0,60.0,120.0,0.4144832397232528,0.0561733932082367,0.2729735866190294,3.138056082602552,-3.1411784925316883,-0.15752404566330622,5.236461459149063,5.21523740047879,5.230799514722422,19.321104782626215,19.363408144128652,19.34983135278826,0.2348182946625002,0.8715047158895606,-0.06165146120971222,2.8453993174402155,0.7616134161927565,0.7610782298941401,0.7603464721810712,0.6613021750543944,0.6605563079432716,0.6632811975405046
90.0,20.0,100.0,120.0,0.5665973211054479,0.2007223995390893,0.4145159676453321,3.1402204869906245,-3.141035095574892,-0.17201240375221233,5.983931308737466,5.975576587772899,5.9707968913529506,26.789261886681427,26.755193681094465,26.80966361363054,0.3193715750539245,2.05877991960751,-0.0668946382411141,2.6214760411349403,0.8169676429229323,0.8172880513216384,0.8200360662843471,0.7580941974417172,0.756444274542209,0.7574003781459167
0.0,20.0,50.0,30.0,0.3786604930046279,0.0144608624682814,0.2406216631267347,2.788648267995101,0.5658887315832768,1.7440886315222248,5.19015256562086,5.191081246097301,5.191127570213571,17.69726404007827,17.710561323032444,17.811187602372918,0.2302252379493802,0.21252573946567913,-0.054186468322139345,2.9762178830608907,0.7568826063904047,0.7591687060244063,0.7591422394251048,0.6569458371008129,0.6570281929175784,0.6568937802073184
0.0,20.0,40.0,-60.0,0.3395546389555226,0.0025232543307649,0.2123269273794133,2.775515980276825,-2.927610404380609,0.21727341969609748,5.004942274032212,5.009717668112559,5.006463477786155,16.157501203838358,16.210991477406584,16.15820025120471,0.21208546757487184,-0.5029145028549877,-0.051615166792685206,2.9241000120202405,0.7406971699237082,0.7397755194877822,0.7419853739423594,0.6336946729560392,0.6337521655164755,0.6332002532999357
100.0,0.0,70.0,-60.0,0.4277129276030038,0.1354858226271151,0.3044548053560465,0.648080224343592,-0.3855290899524788,0.12499876598067552,5.298413974971522,5.296198964081442,5.293854832678058,20.950022008525544,20.965687656019494,20.958853159441833,0.22725386559665103,-1.1609459062925584,-0.07000888999318033,2.702181827635834,0.7681940586255805,0.7682833146369547,0.7683321962248202,0.6708289070536937,0.6702306824986086,0.6705206945107268
20.0,90.0,40.0,120.0,0.3455795480067953,0.0042544107183445,0.21738677584450775,3.13987643031738,-3.1392937805053527,-0.3409602228553145,4.817620428981433,4.8100682882252785,4.816498702147563,15.729909349228667,15.803880701289856,15.830361674544198,0.2091470874925765,0.5688385904996134,-0.07218543230495188,2.6510882173639407,0.7092631153592375,0.7114087242951612,0.7098821009500745,0.6090070789721257,0.6088584371044439,0.6097829242485467
50.0,50.0,40.0,-60.0,0.3385864868795949,0.0027163427137768,0.21199510274676148,2.829888529298978,-2.9816711729807093,0.2232112689715798,4.9806403627103535,4.985600966343536,4.979573280804665,16.112725523008752,16.12031784520421,16.264898749396902,0.21001189696213898,-0.5341985712391656,-0.05427274080711018,2.8956607990674987,0.7376044163335876,0.7387078858522708,0.7379395558392333,0.6306238906389324,0.6305560098700986,0.6297943469381952
50.0,50.0,40.0,0.0,0.3399722323506041,0.0065916402474342,0.21337835864272234,3.134527476726773,-3.108304971780334,1.1632246146516099,4.976509394426684,4.968358526852442,4.973636314946015,16.07483219215885,16.090283354490257,16.091085875528357,0.2151530338153669,-0.17770217459141852,-0.05425644610878828,2.871291362849326,0.7352710635700271,0.7336517367373964,0.7349327613784713,0.6291733429226632,0.6287737576178054,0.6298522613964591
50.0,20.0,110.0,-30.0,0.6203660044508619,0.2459737612563496,0.456483140406925,1.1388075752080815,0.1097793024988926,0.6059033947393899,6.118792668918952,6.1114282791456285,6.118444662074499,28.643233131665376,28.64371792751068,28.634107956870636,0.3536439350638311,-0.5585168780200012,-0.07176509318539538,2.3716993815946896,0.8157816193333748,0.8138179062225056,0.814904295391489,0.7750167971815362,0.7749725032840235,0.775932186386353
20.0,0.0,100.0,0.0,0.5761234731048873,0.2122721237930636,0.4197237787163882,1.657512360477478,0.6545892549577152,1.136873204326219,6.068799385502583,6.0610157290549225,6.0710348480761755,26.763740829952994,26.74440798145346,26.92072047514796,0.3214542101954333,-0.048407041061190564,-0.07066330551004438,2.7083921016020676,0.823889700823783,0.8277743796899191,0.8256975314326661,0.7682611722332775,0.7686038929530733,0.7694730162247202
20.0,0.0,20.0,30.0,0.289776533073013,0.0349252829150526,0.1724364682425943,3.1363613620679778,-3.130801807347889,0.7828303490962841,4.505080616549118,4.505175192219697,4.514925850992203,13.096077281441083,13.132288502602592,13.171362120965432,0.18748515511829927,-0.059654105403982215,-0.039601126223645956,2.541978959817349,0.6735940627363285,0.6738262655592261,0.6751091263024103,0.5694363809950329,0.5707469152324984,0.570671386752913
