P,Q,V_mag,V_theta,I_max_tail,I_min_tail,I_avg_tail,Iphase_max_tail,Iphase_min_tail,Iphase_avg_tail,I1_avg_tail,I2_avg_tail,I3_avg_tail,V1_avg_tail,V2_avg_tail,V3_avg_tail,V_avg_tail,Vphase_avg_tail,P_avg_tail,Q_avg_tail
50.0,0.0,80.0,0.0,1.0729262569297318,1.069875420622456,1.071481043340187,-0.911252158972832,-0.9195670424190464,-0.9144343541875349,1.0725379449304324,1.0714674283693768,1.0706915767532748,21.87691346198738,21.86218686160442,21.857035934748815,21.841776815790237,-0.45012181106423166,0.40489735156214585,0.027885438297075738
50.0,50.0,120.0,-60.0,1.1570475847457844,1.1141147748644642,1.140078604518913,-2.767523412637959,-2.796381524758802,-2.7816632938924317,1.1399003152565668,1.1408541605364837,1.1422204809340626,34.25936890158597,34.285752134075835,34.27905483959846,34.10117029692436,-1.5319159614073126,0.5050786907118316,0.49864783427416975
50.0,20.0,80.0,0.0,1.1170329535139172,1.1151440547478506,1.1163828294108877,-1.295852117731731,-1.2976906886463018,-1.2967344791208464,1.1155728271456629,1.1171428349157926,1.1166999932011064,22.515013830316615,22.510369427969824,22.5088577843178,22.4713899003935,-0.45096094858292235,0.41260012705340043,0.19358559078059812
50.0,0.0,80.0,-60.0,1.0839925081395352,1.073151609514874,1.0758053541624302,-1.951619683676904,-1.9685073331153664,-1.9622030741519254,1.0749095897283734,1.0766996964061333,1.0756194092771094,21.857905610302073,21.877137378524125,21.86346843284514,21.842258811364903,-1.4970226574081882,0.40662320216102443,0.0285151788516988
20.0,0.0,10.0,0.0,0.6864764695020207,0.5246501673643049,0.6044958515339601,-0.7370682129764081,-1.274934597532167,-1.0169134385178085,0.6894234662919483,0.6876040729726023,0.6848264783156957,3.21519253797128,3.221624012683203,3.230280995618972,2.881413778084478,-0.2021383205485823,0.028966586234184865,0.04301729289140962
50.0,20.0,50.0,-30.0,1.280300829559095,1.2679325109533954,1.2726633345881722,-1.6992042543280648,-1.7247602089937606,-1.7152109617208282,1.2737154225879639,1.2724916144358687,1.2716645639026731,14.17560074435485,14.18036072259978,14.168335939326207,14.15592823590728,-0.9125665224387837,0.3001058110793148,0.1629041400413025
50.0,50.0,120.0,60.0,1.318696755257362,1.27087814646807,1.2865878176988792,-0.5430764333493563,-0.5693836488393553,-0.5577490730170837,1.2856186803822258,1.2876105808104659,1.2865903710518343,34.23189297368272,34.21333428985317,34.23756166084516,34.05197749471327,0.5718490101335058,0.6257429344962608,0.5016309008728408
90.0,0.0,100.0,-30.0,1.894929071937916,1.8856788320828213,1.8924096821243577,-1.281616741570644,-1.2855746817412588,-1.2828400321702982,1.89193804913218,1.893006913778568,1.892637832964655,26.865509701852275,26.871602744609753,26.863893956336398,26.826159295644967,-0.9448767200120054,0.8651027789010747,0.006983365709958017
90.0,20.0,100.0,-60.0,1.914984673056648,1.882269968317706,1.8991450849852543,-2.013974240304398,-2.02683366046957,-2.0213674267584874,1.8996933662518876,1.8978492485789413,1.8994334577607979,27.508904118307584,27.519331747896285,27.514457690757325,27.43631641299,-1.4664479010621077,0.9032194157124919,0.19803831756039272
20.0,90.0,60.0,0.0,1.7790472785479494,1.7737383593794886,1.7760093614347419,-2.314967406604532,-2.31949331410286,-2.317169833286765,1.7738948093485087,1.7767018548427165,1.777519870979083,19.130392031784602,19.149611038421472,19.13504532941991,19.071030514705786,-0.4823403189806801,0.151611751631478,0.7162864560786858
