P,Q,V_mag,V_theta,I_max_tail,I_min_tail,I_avg_tail,Iphase_max_tail,Iphase_min_tail,Iphase_avg_tail,I1_avg_tail,I2_avg_tail,I3_avg_tail,V1_avg_tail,V2_avg_tail,V3_avg_tail,V_avg_tail,Vphase_avg_tail,P_avg_tail,Q_avg_tail,V1_inv_tail,V2_inv_tail,V3_inv_tail,I1_inv_tail,I2_inv_tail,I3_inv_tail
20.0,0.0,90.0,0.0,0.3584276205713203,0.3510215223534744,0.35568248600378644,-1.183905712072206,-1.2230233070668215,-1.2026540873655023,0.35727994341098807,0.35699181307503536,0.35445403096195444,24.873119260102143,24.876451992730814,24.8626138025231,24.831535998570935,-0.5022644678726066,0.15092735876800223,0.027437050800462003,0.2853199650654376,0.2856266570338118,0.2851744500503515,0.04516389668102973,0.04484191168243275,0.044861009796505695
0.0,50.0,30.0,0.0,1.2312254281163926,1.2235073545916284,1.2276605390149893,-2.6228659762594533,-2.6359894743007115,-2.62867087651325,1.2271930848200392,1.2271731591586412,1.2288094808152203,10.120101588036405,10.112266786259154,10.116168147476358,10.101253254131526,-0.5260871727606129,-0.0014365823662659642,0.2866009183417659,0.15444076236832663,0.1544645851308513,0.1544506513471826,0.15496229615658935,0.15515468633243013,0.15515905749929834
0.0,20.0,10.0,30.0,0.8493792225764389,0.7260440771467909,0.7906367405173688,-2.019883091864429,-2.444297039913358,-2.227823170964258,0.7943105937783727,0.7941198469243369,0.7945354569461293,3.994356250157045,3.989738704276523,3.996713050197915,3.932131268476878,-0.0418623310869985,-0.004857461954437998,0.08396589919836475,0.07151117151314766,0.07149031950614107,0.07155023690734708,0.10051123113017717,0.10053592427309799,0.1005500447558433
20.0,20.0,10.0,-30.0,0.914802175981422,0.8972841917324609,0.9069648281540662,-1.911300380006868,-1.989865340110485,-1.9462969490282662,0.9077294493300857,0.9072915626144197,0.9065950414034036,3.5204181174191547,3.5281608988903206,3.514520001010791,3.4960142433343115,-0.6744354579402521,0.04049675268621958,0.07739874665778879,0.06424092639201895,0.06432505754896985,0.06402280664607764,0.11503079594397328,0.1149310638338752,0.11496274737785638
20.0,90.0,40.0,30.0,2.124789151439202,2.1182747621015574,2.121444133428316,-2.1579657852922374,-2.1750709189659214,-2.1626652939579825,2.1221254127512643,2.121177615331332,2.1213425542908237,14.249776653099852,14.229681103788785,14.246139079355611,14.204723542124107,-0.01578802801798212,-0.026621346378810126,0.7349812798011857,0.22950061930464463,0.2294437516818446,0.22958089012282715,0.2682750379403793,0.2681516300837412,0.2682767337247252
0.0,90.0,60.0,0.0,2.136320829503532,2.1212251023489577,2.1281251540104122,-2.619581732136832,-2.640063905435214,-2.630339602491548,2.12948896964853,2.12641206915874,2.128471290046614,19.80302049952987,19.80591925952341,19.799213499707356,19.70274965337506,-0.5260884055487226,-0.005851206040530167,0.9422462934285153,0.29405302028637464,0.29402304097395243,0.29397034869988453,0.2686872105820232,0.26857082931257636,0.2689576009757338
50.0,50.0,20.0,-60.0,1.7317535096367722,1.7156332021152387,1.723018127094642,-1.9257605256946368,-1.9932546426714863,-1.9634241726314774,1.723183276637583,1.721929820728299,1.723528595155423,5.797979577195076,5.799108285629623,5.797655222099483,5.774673586291588,-1.1077169219447158,0.16310607372471855,0.2004329556517838,0.0996460142327563,0.09953338744155588,0.09953473800916803,0.21839546251257813,0.2184405064003018,0.21859422052949992
100.0,0.0,0.0,-60.0,2.070568843698621,2.067088701034167,2.0688008936597893,3.1365936261170297,-3.140762317001184,0.22751467709115542,2.06809549464693,2.0698905218859442,2.070645032923972,3.199924975510583,3.197773866821724,3.1949336003069115,3.1693337126271413,-1.3028168315014999,0.0010220812728871577,0.32527986268045594,0.10423391996234135,0.10425763202371838,0.10413409668858022,0.262217245723511,0.2625514180236366,0.26231973482545584
0.0,90.0,70.0,30.0,1.9097708064441363,1.8986852969744947,1.9038621300153022,-2.0472106826915857,-2.0994927782741257,-2.086414587212155,1.9047456061334507,1.9028923009317067,1.904084669321608,22.24014913641504,22.238053516294737,22.237043670948076,22.112109247219337,0.0006489539701898415,0.007144605964469628,0.8999177195875641,0.31443941211416826,0.3143610259188128,0.31438693263427575,0.24009484689559035,0.240017676065821,0.24025235477890583
20.0,0.0,0.0,0.0,0.6673574317249673,0.4290709377234368,0.5555332639047463,-0.4412724514745048,-1.4069348331507645,-0.9409001241872003,0.7084149152977564,0.7133082661043846,0.708707237713194,1.9148064164221057,1.9222591674000669,1.9134660231421474,0.8741286624918083,1.1425347167568771,0.000450284361752398,0.05504586640962389,0.06060894159797586,0.06062598946627695,0.060313440032553775,0.09001656015763848,0.09004493682213671,0.08942125994855088
0.0,90.0,0.0,30.0,2.114446561707436,2.1002347000560877,2.107795292855994,-2.6745014505844344,-2.9464795306475917,-2.809954406183705,2.1063930635330568,2.1089205335233268,2.1081299159842777,3.2049421501101483,3.201832884672687,3.2087189448089135,3.1788978584945875,-0.7184239880313606,0.0010536179903605264,0.3322372131595238,0.10441388712736835,0.10438803165701763,0.10450803089666148,0.267189855362541,0.26741265390507957,0.2670894928659206
50.0,0.0,60.0,-30.0,1.011894693808295,1.0016706382774694,1.0052988244220695,-1.478864598625771,-1.4969661746215184,-1.4882042149918653,1.005477174445179,1.0041731132413294,1.0062211789762978,16.461570182874738,16.46560803369394,16.45797519458417,16.444038927740046,-0.9550892743765923,0.2863611255837513,0.04958047904708346,0.1906624557890368,0.1905887299258417,0.1906340008864047,0.12742047783723415,0.12751551498597033,0.12767799679634523
90.0,0.0,20.0,-30.0,2.2759989380871697,1.996618124070936,2.0948222793108755,2.2620517683253696,-0.0108695578554312,0.7811424693198935,2.093716200350909,2.0972196154020835,2.100498730764763,4.57134283351429,4.572615770237228,4.5932462310935565,4.070242322518966,-1.4653699606893562,-0.1054741587766113,0.20715044473715674,0.08666021683233589,0.08627722652514955,0.08697768218746688,0.26565855969042235,0.2665216003972089,0.26606236770806774
20.0,20.0,90.0,-30.0,0.6311536072582243,0.6185486693164323,0.6250915187312825,-2.2785049080420503,-2.302677737237353,-2.29084027676789,0.6262245070211333,0.6248725353382998,0.6256033347607589,25.41923514968046,25.420197130713486,25.413699178487533,25.373070340529782,-1.019327463641199,0.20197485694326933,0.19952626533231804,0.3034491337937283,0.30357962772346925,0.30356218986853634,0.07822029051927895,0.07814696870277442,0.07831912143718298
20.0,50.0,110.0,-30.0,0.9419209010889612,0.9231914989514376,0.9332249656915788,-2.7082595961806937,-2.7266714082104,-2.715506777454317,0.9372568872516434,0.9347536826860909,0.9311548072550629,31.677275692357235,31.6751507775118,31.653695128096857,31.525586686931824,-1.028839504642435,0.20366922862471476,0.4996498581847045,0.3886698790688531,0.3885245625563758,0.38855390827780567,0.11702626176416656,0.11624780432832868,0.1165704405592056
20.0,20.0,90.0,60.0,0.3639217603211059,0.3518227636866715,0.3580295800103154,-0.1166087577582787,-0.1706167343802836,-0.14366746312889417,0.35959382543382884,0.35579287934614373,0.3599999504273822,24.867866575608073,24.861627655873946,24.861474348079117,24.825918958143976,0.5451194851498465,0.1521271395471892,0.025944525199822425,0.2854558127084233,0.2850170636071628,0.2851768225156258,0.04505606436825205,0.04513423443270774,0.04558052054041675
50.0,20.0,110.0,-30.0,1.0050257148951005,0.9734666168062291,0.9943375277529117,-1.8218363827083428,-1.8418632173366176,-1.8308829398245567,0.9982852342628733,0.9928471130535645,0.99501698280552,30.778047011603654,30.781660662608058,30.77468271655854,30.6599957553273,-0.9999708874075596,0.5042258020477249,0.19894801361634176,0.36129786729018915,0.3612457504984521,0.36105322546819,0.1257334561980705,0.1253558802716828,0.12603427202675788
20.0,20.0,30.0,30.0,0.7971023494082139,0.7604150888594249,0.7828898391723034,-1.3370472379356615,-1.503944858543434,-1.3913542564258614,0.7834869151331545,0.785473294732443,0.7838291790720004,9.210201088176413,9.203079861884019,9.21437132447366,9.183795596300554,0.0830520428823819,0.07220417973603864,0.13015722018428563,0.1267629288805843,0.12668173366574495,0.12681752614355538,0.09907205747889153,0.09910439294515244,0.09886007301727497
20.0,90.0,20.0,-60.0,2.119178603075972,2.1132393030554937,2.115909045464929,2.7969355785596086,2.459614342691969,2.5734397398134625,2.1152101580784626,2.115495222416587,2.1173012856500137,8.722091340651609,8.724066428710428,8.724117784938949,8.676355287210987,-1.5881991285759414,-0.006575165076924474,0.5339922100995336,0.16732648899494815,0.16730046059118625,0.16724636329807482,0.26771369558497554,0.2679815026584541,0.26794832845561173
0.0,90.0,40.0,-30.0,2.1248041420834465,2.118396163341828,2.1219113415915385,3.133264949056409,3.0814360915463888,3.095575257663961,2.122008887913374,2.1228434124315156,2.1209345603961878,14.242676293114677,14.249124571637962,14.245519217880595,14.19413207551025,-1.0582168096056277,-0.01691184380656572,0.7381233346851441,0.23013744444505158,0.23042519858381239,0.23022851572306838,0.2683869051023773,0.2682490287389792,0.2681641655261321
0.0,100.0,120.0,-30.0,1.6201828715346926,1.4771417852461672,1.4962087998406477,3.141564724408992,-3.1415904518732245,-3.059716154316216,1.4966099292103956,1.495577049118559,1.495937440925018,35.37768824057204,35.37581789269466,35.373518735543705,35.213033355681596,-1.04363713682529,0.05953451053520156,0.9995561304856885,0.45057921093512787,0.4506961322152392,0.45064295458028153,0.18751547185940126,0.18745648917793264,0.18758570877465724
50.0,20.0,110.0,-60.0,1.0054818695813388,0.975417540965688,0.9936996935926813,-2.342553782170718,-2.362228377110542,-2.353558960702485,0.9924760865240861,0.9935406127267423,0.9983257857789242,30.767675064519185,30.77817704546541,30.77998607688919,30.6583875073433,-1.523587473288587,0.5040652153132639,0.19826193462482924,0.3610420638035474,0.3610925717924149,0.3612367872371998,0.12519708433702034,0.12593464713009164,0.1257697539705908
0.0,20.0,30.0,60.0,0.6909575233610115,0.6650276513738942,0.6791903309504391,-1.557329587113917,-1.7256121002307037,-1.614150453068177,0.681418325159047,0.6797992547127782,0.6802463343976459,9.30116370322138,9.307308960981388,9.301023218145428,9.273169339077034,0.5184910141896888,-0.0041037417728290665,0.1302023576316661,0.12876629728997174,0.12896618306725827,0.12868305629469393,0.085767342894139,0.08557900197042638,0.08579624329736577
0.0,90.0,0.0,-60.0,2.114446561707436,2.1002347000560877,2.107795292855994,-2.6745014505844344,-2.9464795306475917,-2.809954406183705,2.1063930635330568,2.1089205335233268,2.1081299159842777,3.2049421501101483,3.201832884672687,3.2087189448089135,3.1788978584945875,-0.7184239880313606,0.0010536179903605264,0.3322372131595238,0.10441388712736835,0.10438803165701763,0.10450803089666148,0.267189855362541,0.26741265390507957,0.2670894928659206
